"","numero_respiro","periode","respi"
"1","1","jour","-0.0104100606419306"
"2","1","nuit","-0.190724357226062"
"3","2","jour","-0.00339192931228031"
"4","2","nuit","-0.190724357226062"
"5","3","jour","-0.0590031505589132"
"6","3","nuit","-0.129395324648762"
"7","4","jour","NaN"
"8","4","nuit","NaN"
"9","5","jour","0.0958388987357955"
"10","5","nuit","-0.0612254412228749"
"11","6","jour","0.187038755917958"
"12","6","nuit","-0.0896745663719072"
"13","7","jour","0.164994807134191"
"14","7","nuit","-0.157870196864967"
"15","8","jour","NaN"
"16","8","nuit","NaN"
